"Phi","T","H","min","max","Var"
"phi1","100","Dynamic H: acf/ccf","   -31113.048","      3.405","       968079.288"
"phi1","300","Dynamic H: acf/ccf","        0.382","      2.607","            0.224"
"phi1","500","Dynamic H: acf/ccf","        0.442","      2.412","            0.232"
"phi1","700","Dynamic H: acf/ccf","        0.473","      2.077","            0.211"
"phi1","900","Dynamic H: acf/ccf","        0.470","      2.027","            0.221"
"phi1","100","Dynamic H: AIC","-34140659.401","      3.737","2586701045619.872"
"phi1","300","Dynamic H: AIC","-21515720.511","      2.231","1323402208678.559"
"phi1","500","Dynamic H: AIC"," -8069059.636","      1.870"," 173726569929.388"
"phi1","700","Dynamic H: AIC","-16914582.855","      1.981"," 354591718701.095"
"phi1","900","Dynamic H: AIC"," -5978070.939","      2.011","  53520239077.474"
"phi1","100","Dynamic H: HQ","-34140659.401","      3.737","2916059672249.245"
"phi1","300","Dynamic H: HQ","-21515720.511","      1.968","1323431503933.977"
"phi1","500","Dynamic H: HQ"," -8580524.449","      1.867"," 246885502484.482"
"phi1","700","Dynamic H: HQ","-16914582.855","      1.981"," 354591718400.338"
"phi1","900","Dynamic H: HQ"," -8276942.654","      2.011"," 121830494169.650"
"phi1","100","Dynamic H: SC","-34140659.401","      3.737","2970000161467.864"
"phi1","300","Dynamic H: SC","-21515720.511","      1.968","1323431504152.986"
"phi1","500","Dynamic H: SC"," -8580524.449","      1.867"," 246885502483.395"
"phi1","700","Dynamic H: SC","-16914582.855","      1.981"," 354591718365.352"
"phi1","900","Dynamic H: SC"," -8276942.654","      2.011"," 121830494150.238"
"phi1","100","Static H: 5","        0.048","      2.937","            0.229"
"phi1","300","Static H: 5","        0.387","      2.198","            0.214"
"phi1","500","Static H: 5","        0.437","      2.113","            0.197"
"phi1","700","Static H: 5","        0.474","      2.016","            0.175"
"phi1","900","Static H: 5","        0.488","      1.963","            0.190"
"phi1","100","Static H: 10","       -0.050","      4.653","            0.268"
"phi1","300","Static H: 10","        0.359","      2.691","            0.223"
"phi1","500","Static H: 10","        0.449","      2.410","            0.223"
"phi1","700","Static H: 10","        0.460","      2.094","            0.213"
"phi1","900","Static H: 10","        0.469","      2.029","            0.221"
"phi1","100","Static H: 15","       -0.460","     10.806","            0.347"
"phi1","300","Static H: 15","        0.387","      2.556","            0.231"
"phi1","500","Static H: 15","        0.445","      2.404","            0.221"
"phi1","700","Static H: 15","        0.431","      2.130","            0.223"
"phi1","900","Static H: 15","        0.465","      2.041","            0.216"
"phi1","100","Static H: 20","       -0.371","3279246.847","  10755078631.167"
"phi1","300","Static H: 20","        0.335","      2.750","            0.237"
"phi1","500","Static H: 20","        0.447","      2.461","            0.231"
"phi1","700","Static H: 20","        0.427","      2.121","            0.224"
"phi1","900","Static H: 20","        0.475","      2.190","            0.211"
