"Phi","T","H","min","max","SE","VAR"
"phi3","100","Dynamic H: acf/ccf","    -1.097","4284872.357","175510.133"," 30803806727.363"
"phi3","300","Dynamic H: acf/ccf","    -0.719","1185195.413"," 37479.173","  1404688378.357"
"phi3","500","Dynamic H: acf/ccf","    -0.552","    112.845","     3.576","          12.785"
"phi3","700","Dynamic H: acf/ccf","    -0.480","      0.134","     0.160","           0.026"
"phi3","900","Dynamic H: acf/ccf","    -0.471","      0.125","     0.163","           0.027"
"phi3","100","Static H: 5","    -1.097","4284872.357","191445.001"," 36651188350.816"
"phi3","300","Static H: 5","    -0.557","2688116.836","110323.125"," 12171191859.249"
"phi3","500","Static H: 5","    -0.567","      0.144","     0.157","           0.025"
"phi3","700","Static H: 5","    -0.461","      0.132","     0.146","           0.021"
"phi3","900","Static H: 5","    -0.443","      0.150","     0.151","           0.023"
"phi3","100","Static H: 10","-13471.241","7857901.687","344631.599","118770939343.074"
"phi3","300","Static H: 10","    -0.732","2123855.120"," 67162.199","  4510760921.804"
"phi3","500","Static H: 10","    -0.554","      0.173","     0.167","           0.028"
"phi3","700","Static H: 10","    -0.490","      0.121","     0.160","           0.026"
"phi3","900","Static H: 10","    -0.469","      0.131","     0.164","           0.027"
"phi3","100","Static H: 15","    -2.826","3068951.566","163587.536"," 26760881935.170"
"phi3","300","Static H: 15","    -0.611","      0.184","     0.175","           0.031"
"phi3","500","Static H: 15","    -0.559","      0.180","     0.168","           0.028"
"phi3","700","Static H: 15","    -0.507","      0.127","     0.167","           0.028"
"phi3","900","Static H: 15","    -0.452","      0.143","     0.162","           0.026"
"phi3","100","Static H: 20","    -1.219","5752101.073","281644.869"," 79323832385.554"
"phi3","300","Static H: 20","    -0.722"," 541244.076"," 17115.644","   292945261.847"
"phi3","500","Static H: 20","    -0.559","      0.181","     0.172","           0.030"
"phi3","700","Static H: 20","    -0.506","      0.131","     0.168","           0.028"
"phi3","900","Static H: 20","    -0.501","      0.138","     0.161","           0.026"
