"Phi","T","H","min","max","SE","VAR"
"phi1",100,"Dynamic H: acf/ccf",-31113.0477908372,3.4048728793659,983.910203331142,968079.28821913
"phi2",100,"Dynamic H: acf/ccf",-14.4958809526737,45173.1633716437,1428.51745479996,2040662.11866816
"phi3",100,"Dynamic H: acf/ccf",-1.09669814799204,4284872.35721428,175510.13283387,30803806727.3628
"phi4",100,"Dynamic H: acf/ccf",-7263658.34010705,6.68783782285598,347070.113629427,120457663774.744
"phi1",300,"Dynamic H: acf/ccf",0.382156201719374,2.60707220331819,0.472972685303054,0.223703161042782
"phi2",300,"Dynamic H: acf/ccf",-6.97134614774999,2.28401601158682,1.39579699446188,1.94824924974881
"phi3",300,"Dynamic H: acf/ccf",-0.718860691817266,1185195.41343563,37479.172594352,1404688378.35722
"phi4",300,"Dynamic H: acf/ccf",-1031020.93635175,3.66761718162978,32603.8007443619,1063007822.97805
"phi1",500,"Dynamic H: acf/ccf",0.442262053509692,2.41154577848973,0.481954640294824,0.232280275301713
"phi2",500,"Dynamic H: acf/ccf",-4.19204663820592,2.53005427105604,1.15798406202894,1.34092708791304
"phi3",500,"Dynamic H: acf/ccf",-0.551708632497937,112.845271155357,3.57555947488461,12.7846255584371
"phi4",500,"Dynamic H: acf/ccf",-773.5527171936,3.35070857325973,24.5230988704877,601.382378211715
"phi1",700,"Dynamic H: acf/ccf",0.472539543816725,2.07693395758825,0.459382033207182,0.211031852433565
"phi2",700,"Dynamic H: acf/ccf",-4.17482698409883,2.12467438859585,1.04888651635177,1.10016292418454
"phi3",700,"Dynamic H: acf/ccf",-0.479776226728097,0.134190989505744,0.159736486041997,0.025515744973045
"phi4",700,"Dynamic H: acf/ccf",0.145019478099553,3.06438487192376,0.409930929766627,0.168043367179331
"phi1",900,"Dynamic H: acf/ccf",0.469930839108192,2.0265115555344,0.469687476608862,0.2206063256832
"phi2",900,"Dynamic H: acf/ccf",-3.74325808937993,2.20845526903188,0.98020925398016,0.960810181588342
"phi3",900,"Dynamic H: acf/ccf",-0.471183896612522,0.12496555506265,0.163220213759377,0.0266408381796566
"phi4",900,"Dynamic H: acf/ccf",0.235152398567884,2.88585030816115,0.386590079058317,0.149451889226316
"phi1",100,"Static H: 5",0.0475049552844039,2.93699135959388,0.478899650950408,0.229344875680423
"phi2",100,"Static H: 5",-12.6043111080177,3.49898138297661,2.02467146839054,4.0992945549147
"phi3",100,"Static H: 5",-1.09669814799204,4284872.35721428,191445.00085094,36651188350.8164
"phi4",100,"Static H: 5",-7263658.34010705,6.46021301385536,344410.462100979,118618566404.61
"phi1",300,"Static H: 5",0.387174171366026,2.19761153134586,0.462702020630283,0.214093159895347
"phi2",300,"Static H: 5",-6.4774177326502,2.17742597517248,1.39104935591397,1.93501831058866
"phi3",300,"Static H: 5",-0.557042970847012,2688116.83649314,110323.124771053,12171191859.2494
"phi4",300,"Static H: 5",-12144885.9948975,3.49721028025599,421879.613943436,177982408661.062
"phi1",500,"Static H: 5",0.436600980801499,2.11316850235577,0.443479618002924,0.19667417158402
"phi2",500,"Static H: 5",-4.38059664094466,2.53005427105604,1.18038332470186,1.39330479323421
"phi3",500,"Static H: 5",-0.566530326376447,0.143679530804887,0.157116081862144,0.0246854631797121
